experiment_id,condition,seed,pressure_mean,pressure_p50,pressure_p90,time_to_silence,identity_entropy,nodes_final,splits_total,prunes_total,status,notes
E2,guided_scaffold_baseline,11,0.17415516531160868,0.1226582900948023,0.4331539709776578,2000,0.0,1,0,0,ok,Fixed good architecture baseline reference.
E2,guided_scaffold_baseline,12,0.18812503264121375,0.14677637959438464,0.3961307944401783,2000,0.0,1,0,0,ok,Fixed good architecture baseline reference.
E2,guided_scaffold_baseline,13,5.5120712087946195,5.666529953989327,6.796194375422542,2000,0.0,1,0,0,ok,Fixed good architecture baseline reference.
E2,guided_scaffold_baseline,14,0.17288970664617392,0.13584654942039634,0.35444560788017127,2000,0.0,1,0,0,ok,Fixed good architecture baseline reference.
E2,guided_scaffold_baseline,15,4.938054140598692,4.995419464165992,5.890585887452973,2000,0.0,1,0,0,ok,Fixed good architecture baseline reference.
E2,guided_scaffold_baseline,16,0.1750603885144214,0.13314192302082134,0.38873103344832133,2000,0.0,1,0,0,ok,Fixed good architecture baseline reference.
E2,guided_scaffold_baseline,17,5.224855632644484,5.2775478456023315,6.34161828014494,2000,0.0,1,0,0,ok,Fixed good architecture baseline reference.
E2,guided_scaffold_baseline,18,4.830260899771795,5.1577042696375015,6.028580162766443,2000,0.0,1,0,0,ok,Fixed good architecture baseline reference.
E2,guided_scaffold_baseline,19,0.17060773596076592,0.1136787813955454,0.4363607850978937,2000,0.0,1,0,0,ok,Fixed good architecture baseline reference.
E2,guided_scaffold_baseline,20,0.18951977857785499,0.1597159432876647,0.3686523508974549,2000,0.0,1,0,0,ok,Fixed good architecture baseline reference.
E2,guided_scaffold_baseline,21,0.18442309805119672,0.1393272601144788,0.40313463234135877,2000,0.0,1,0,0,ok,Fixed good architecture baseline reference.
E2,guided_scaffold_baseline,22,0.1707801577188635,0.12279227338185653,0.38746856158277976,2000,0.0,1,0,0,ok,Fixed good architecture baseline reference.
E2,guided_scaffold_baseline,23,5.355695888122244,5.425889438442304,7.450702383025099,2000,0.0,1,0,0,ok,Fixed good architecture baseline reference.
E2,guided_scaffold_baseline,24,5.332420285164875,5.3211682185942095,7.035689974966898,2000,0.0,1,0,0,ok,Fixed good architecture baseline reference.
E2,guided_scaffold_baseline,25,5.4741617631154345,5.574334454135566,6.711420881026449,2000,0.0,1,0,0,ok,Fixed good architecture baseline reference.
E2,guided_scaffold_baseline,26,0.1732044911744393,0.12273908811417442,0.3953004739255279,2000,0.0,1,0,0,ok,Fixed good architecture baseline reference.
E2,guided_scaffold_baseline,27,0.1848600622871483,0.1343731636901422,0.4198728532943248,2000,0.0,1,0,0,ok,Fixed good architecture baseline reference.
E2,guided_scaffold_baseline,28,0.1728121170899349,0.11710724779194423,0.4365064417323694,2000,0.0,1,0,0,ok,Fixed good architecture baseline reference.
E2,guided_scaffold_baseline,29,4.998008522690792,5.12375044215958,6.370866771420699,2000,0.0,1,0,0,ok,Fixed good architecture baseline reference.
E2,guided_scaffold_baseline,30,0.16742732673135824,0.1299049900307466,0.3473300649380657,2000,0.0,1,0,0,ok,Fixed good architecture baseline reference.
E3,hybrid_scaffold_plus_differentiation,1,0.12953621855300784,0.08147953798133854,0.32558983788549734,1672,4.3219280948585075,20,0,0,ok,Compare directly vs E2 scaffold baseline.
E3,hybrid_scaffold_plus_differentiation,2,0.12606888782741688,0.07346807179448844,0.3301795493217459,1580,4.3219280948585075,20,0,0,ok,Compare directly vs E2 scaffold baseline.
E3,hybrid_scaffold_plus_differentiation,3,4.886267761111572,4.881871759123029,6.916208948346776,2000,4.3219280948585075,20,0,0,ok,Compare directly vs E2 scaffold baseline.
E3,hybrid_scaffold_plus_differentiation,4,0.14643932362172504,0.1097386087199886,0.38680248889170193,1608,4.3219280948585075,20,0,0,ok,Compare directly vs E2 scaffold baseline.
E3,hybrid_scaffold_plus_differentiation,5,0.13749534853893172,0.09388397868786454,0.30090679484486726,1645,4.3219280948585075,20,0,0,ok,Compare directly vs E2 scaffold baseline.
E3,hybrid_scaffold_plus_differentiation,6,0.12636556690408443,0.07625356165120975,0.3175028344750272,1630,4.3219280948585075,20,0,0,ok,Compare directly vs E2 scaffold baseline.
E3,hybrid_scaffold_plus_differentiation,7,0.13181376739502307,0.08008878143432148,0.36576262307073465,1703,4.3219280948585075,20,0,0,ok,Compare directly vs E2 scaffold baseline.
E3,hybrid_scaffold_plus_differentiation,8,5.679542646425252,5.778850799601172,6.946143155410008,2000,4.3219280948585075,20,0,0,ok,Compare directly vs E2 scaffold baseline.
E3,hybrid_scaffold_plus_differentiation,9,0.12982751111612917,0.08037577237829595,0.3322533728836402,1637,4.3219280948585075,20,0,0,ok,Compare directly vs E2 scaffold baseline.
E3,hybrid_scaffold_plus_differentiation,10,0.12886744655178523,0.0828787005104986,0.31999314485840635,1638,4.3219280948585075,20,0,0,ok,Compare directly vs E2 scaffold baseline.
E3,hybrid_scaffold_plus_differentiation,11,0.14123270436446078,0.09202904437912275,0.38694809485591114,1794,4.3219280948585075,20,0,0,ok,Compare directly vs E2 scaffold baseline.
E3,hybrid_scaffold_plus_differentiation,12,0.13145636575644395,0.07485504118798693,0.34449210917069534,1491,4.3219280948585075,20,0,0,ok,Compare directly vs E2 scaffold baseline.
